OBJECTID,ACCIDENTNUM,ACCIDENTDATE,LOCATION,ACCIDENT_LOCATION,IMPACT_LOCATION,ENVIRONMENT_CONDITION,LIGHT,COLLISION_TYPE,TRAFFICCOLLISIONSID
1302,10-029490,20100211,STIRLING AVE S @ KING ST E / STIRLING AVE N,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
1303,10-125645,20100615,ABERDEEN RD @ CLAREMONT AVE,02-Intersection related,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
1304,10-060384,20100325,MADISON AVE N @ KING ST E / MADISON AVE S,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
1305,10-048732,20100310,LAKESIDE DR @ GATEWOOD RD,03-At intersection,01-Within intersection,01-Clear,"08-Dark, artificial",INTERSECTION,
1306,10-063124,20100329,WILLIAMSBURG RD @ DINISON CRES,02-Intersection related,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
1307,10-266372,20101214,PIONEER DR @ OLD CARRIAGE DR,03-At intersection,02-Thru lane,03-Snow,05-Dusk,INTERSECTION,
1308,10-150322,20100720,HOMER WATSON BLVD @ HOFFMAN ST,03-At intersection,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
1309,10-156995,20100728,GRAVEL RIDGE TRAIL @ MELINDA ST,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
1310,10-014985,20100119,FRANKLIN ST S @ GREENFIELD AVE,03-At intersection,01-Within intersection,01-Clear,07-Dark,INTERSECTION,
1311,10-037400,20100222,FRANKLIN ST S @ KINGSWAY DR,03-At intersection,02-Thru lane,03-Snow,01-Daylight,INTERSECTION,
1312,10-159497,20100731,MADISON AVE N @ KING ST E / MADISON AVE S,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
1313,10-265914,20101214,CHARLES ST E @ SYDNEY ST S,02-Intersection related,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
1314,10-266396,20101215,KINZIE AVE @ RIVER RD E,02-Intersection related,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
1315,10-094541,20100509,ACTIVA AVE @ MAX BECKER DR,01-Non intersection,02-Thru lane,01-Clear,07-Dark,INTERSECTION,
1316,10-210025,20101002,HIGHLAND RD E @ SPADINA RD E,04-At/near private drive,02-Thru lane,02-Rain,01-Daylight,INTERSECTION,
1317,10-211582,20101004,BRUNSWICK AVE @ GUELPH ST,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
1318,10-186551,20100903,GATEWAY PARK DR @ TU LANE ST,01-Non intersection,04-Right turn lane,01-Clear,01-Daylight,INTERSECTION,
1319,10-188003,20100905,WILSON AVE @ KINGSWAY DR,01-Non intersection,02-Thru lane,01-Clear,07-Dark,INTERSECTION,
1320,10-024364,20100204,RIVER RD E @ OLD CHICOPEE DR,02-Intersection related,04-Right turn lane,01-Clear,01-Daylight,INTERSECTION,
1321,10-102121,20100519,BELMONT AVE W @ CLAREMONT AVE,01-Non intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
1322,10-108917,20100528,OLD CHICOPEE DR @ KENORA DR,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
1323,10-125362,20100618,HIGHLAND RD E @ HOFFMAN ST,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
1324,10-265860,20101214,STIRLING AVE S @ MILL ST,05-At railway crossing,02-Thru lane,06-Strong wind,01-Daylight,INTERSECTION,
1325,10-266729,20101215,RIVER RD E @ FREDERICK ST,01-Non intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
1326,10-119130,20100610,FRANKLIN ST S @ KINGSWAY DR,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
1327,10-089342,20100502,COUNTRY HILL DR @ BLOCK LINE RD,03-At intersection,02-Thru lane,01-Clear,"08-Dark, artificial",INTERSECTION,
1328,10-088880,20100502,STIRLING AVE S @ GREENBROOK DR,01-Non intersection,09-Right shoulder,01-Clear,07-Dark,INTERSECTION,
1329,10-079733,20100420,HANSON AVE @ HAYWARD AVE,03-At intersection,11-Not on roadway - right side,01-Clear,01-Daylight,INTERSECTION,
1330,10-065811,20100401,OTTAWA ST S @ HOWE DR,01-Non intersection,99-Other,01-Clear,07-Dark,INTERSECTION,
1331,10-054519,20100315,BLOCK LINE RD @ KINGSWOOD DR,03-At intersection,01-Within intersection,01-Clear,"08-Dark, artificial",INTERSECTION,
1332,10-266503,20101215,SHANLEY ST @ MOORE AVE,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
1333,10-265775,20101213,HANSON AVE @ HAYWARD AVE,03-At intersection,02-Thru lane,01-Clear,05-Dusk,INTERSECTION,
1334,10-187426,20100904,OTTAWA ST S @ STRASBURG RD,04-At/near private drive,09-Right shoulder,01-Clear,01-Daylight,INTERSECTION,
1335,10-131704,20100626,FIRST AVE @ KINGSWAY DR / SECOND AVE,01-Non intersection,02-Thru lane,02-Rain,01-Daylight,INTERSECTION,
1336,10-123264,20100615,STRASBURG RD @ HURON RD,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
1337,10-118292,20100609,BLOCK LINE RD @ STRASBURG RD,02-Intersection related,01-Within intersection,02-Rain,01-Daylight,INTERSECTION,
1338,10-231620,20101029,CONNAUGHT ST @ EIGHTH AVE,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
1339,10-206850,20100928,DUKE ST E @ FREDERICK ST,01-Non intersection,09-Right shoulder,02-Rain,01-Daylight,INTERSECTION,
1340,10-203892,20100924,KING ST W @ ONTARIO ST S / ONTARIO ST N,01-Non intersection,02-Thru lane,02-Rain,01-Daylight,INTERSECTION,
1341,10-166767,20100809,PIONEER DR @ DOON VILLAGE RD,03-At intersection,02-Thru lane,02-Rain,01-Daylight,INTERSECTION,
1342,10-161810,20100803,RIVER RD E @ RENNIE DR,02-Intersection related,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
1343,10-059131,20100323,STRASBURG RD @ HURON RD,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
1344,10-217724,20101012,QUEENS BLVD @ BELMONT AVE W / BELMONT AVE E,03-At intersection,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
1345,10-215000,20101008,WESTMOUNT RD E @ LAURENTIAN DR,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
1346,10-186733,20100903,HAZELGLEN DR @ MOOREGATE CRES,02-Intersection related,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
1347,10-201233,20100921,ACTIVA AVE @ BRIDLEWREATH ST,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
1348,10-194956,20100913,CEDAR ST N @ DUKE ST E,03-At intersection,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
1349,10-157082,20100728,KING ST E @ FREDERICK ST / BENTON ST,01-Non intersection,09-Right shoulder,01-Clear,01-Daylight,INTERSECTION,
1350,10-173478,20100816,YORK ST @ MT HOPE ST,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
1351,10-229726,20101027,GLASGOW ST @ BELMONT AVE W,04-At/near private drive,03-Left turn lane,01-Clear,01-Daylight,INTERSECTION,
1352,10-224793,20101020,HEIMAN ST @ HIGHLAND RD E,02-Intersection related,01-Within intersection,02-Rain,07-Dark,INTERSECTION,
1353,10-207880,20100929,GATEWAY PARK DR @ TU LANE ST,04-At/near private drive,02-Thru lane,01-Clear,"08-Dark, artificial",INTERSECTION,
1354,10-017127,20100125,UNION BLVD @ DUNBAR RD,03-At intersection,01-Within intersection,02-Rain,01-Daylight,INTERSECTION,
1355,10-156106,20100727,BELMONT AVE W @ GAGE AVE,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
1356,10-155572,20100726,GLASGOW ST @ KNELL DR,02-Intersection related,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
1357,10-166003,20100808,BANKSIDE DR @ OPRINGTON DR,02-Intersection related,09-Right shoulder,01-Clear,01-Daylight,INTERSECTION,
1358,10-164149,20100806,QUEENS BLVD @ BLUERIDGE AVE,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
1359,10-147535,20100716,DOON MILLS DR @ DOON SOUTH DR,99-Other,99-Other,01-Clear,01-Daylight,INTERSECTION,
1360,10-147472,20100716,DUKE ST E @ FREDERICK ST,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
1361,10-111208,20100530,STIRLING AVE S @ MILL ST,03-At intersection,01-Within intersection,01-Clear,07-Dark,INTERSECTION,
1362,10-185784,20100902,RIVER RD E @ HOLBORN DR,03-At intersection,04-Right turn lane,01-Clear,01-Daylight,INTERSECTION,
1363,10-265685,20101214,TRILLIUM DR @ BEASLEY DR,03-At intersection,04-Right turn lane,01-Clear,01-Daylight,INTERSECTION,
1364,10-264462,20101212,MCGARRY DR @ ELM RIDGE DR,99-Other,11-Not on roadway - right side,03-Snow,01-Daylight,INTERSECTION,
1365,10-006346,20100107,ERINBROOK DR @ RITTENHOUSE RD,02-Intersection related,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
1366,10-017994,20100126,LAURENTIAN DR @ BLOCK LINE RD,03-At intersection,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
1367,10-032229,20100214,DEKAY ST @ BRIAR AVE,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
1368,10-109024,20100528,MADISON AVE N @ KING ST E / MADISON AVE S,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
1369,10-117454,20100608,KING ST W @ FRANCIS ST S / FRANCIS ST N,02-Intersection related,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
1370,10-168946,20100811,WILHELM ST @ AHRENS ST W,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
1371,10-265060,20101213,FRANKLIN ST S @ KINGSWAY DR,03-At intersection,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
1372,10-265229,20101213,STIRLING AVE S @ MILL ST,03-At intersection,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
1373,10-112775,20100602,DUMFRIES AVE @ KRUG ST,03-At intersection,01-Within intersection,01-Clear,"08-Dark, artificial",INTERSECTION,
1374,10-109261,20100528,FOURTH AVE @ KINGSWAY DR,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
1375,10-086075,20100428,ROCKWAY DR @ DOON RD,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
1376,10-045550,20100305,FIRST AVE @ KINGSWAY DR / SECOND AVE,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
1377,10-018732,20100127,HIGHLAND RD E @ HOFFMAN ST,02-Intersection related,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
1378,10-129807,20100624,PENELOPE DR @ CORA DR,01-Non intersection,,01-Clear,01-Daylight,INTERSECTION,
1379,10-130975,20100625,SHANLEY ST @ WATERLOO ST,02-Intersection related,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
1380,10-122400,20100614,HOMER WATSON BLVD @ HOFFMAN ST,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
1381,10-266597,20101213,HOMER WATSON BLVD @ HOFFMAN ST,03-At intersection,01-Within intersection,03-Snow,"08-Dark, artificial",INTERSECTION,
1382,10-266083,20101214,KINZIE AVE @ THALER AVE,02-Intersection related,02-Thru lane,01-Clear,"08-Dark, artificial",INTERSECTION,
1383,10-225306,20101021,KING ST E @ PANDORA AVE N / PANDORA AVE S,03-At intersection,01-Within intersection,02-Rain,01-Daylight,INTERSECTION,
1384,10-195489,20100914,FEATHERSTONE CRES @ FEATHERSTONE ST,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
1385,10-270643,20101221,WILSON AVE @ FAIRWAY RD S,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
1386,10-219654,20101014,RIVER RD E @ HOLBORN DR,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
1387,10-229292,20101026,FRANKLIN ST N @ WEBER ST E,04-At/near private drive,03-Left turn lane,02-Rain,"06-Dusk, artificial",INTERSECTION,
1388,10-232474,20101020,SAMUEL ST @ CHAPEL ST,02-Intersection related,02-Thru lane,01-Clear,07-Dark,INTERSECTION,
1389,10-169943,20100813,BLOCK LINE RD @ STRASBURG RD,02-Intersection related,10-Not on roadway - left side,01-Clear,01-Daylight,INTERSECTION,
1390,10-174838,20100819,GLASGOW ST @ PARK ST,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
1391,10-076838,20100416,WATER ST N @ DUKE ST W,02-Intersection related,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
1392,10-128459,20100622,FIFTH AVE @ KINGSWAY DR,03-At intersection,02-Thru lane,02-Rain,01-Daylight,INTERSECTION,
1393,10-220193,20101015,MORGAN AVE @ PEPPERWOOD CRES,01-Non intersection,02-Thru lane,,,INTERSECTION,
1394,10-214652,20101008,SPADINA RD E @ QUEENS BLVD / SPADINA RD W,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
1395,10-224506,20101020,DUKE ST W @ LOUISA ST,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
1396,10-156235,20100727,MARGARET AVE @ UNION ST,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
1397,10-158067,20100729,GATEWAY PARK DR @ TU LANE ST,04-At/near private drive,02-Thru lane,01-Clear,"06-Dusk, artificial",INTERSECTION,
1398,10-157486,20100729,SHANLEY ST @ DUKE ST W,02-Intersection related,10-Not on roadway - left side,,,INTERSECTION,
1399,10-224432,20101019,BELMONT AVE W @ GAGE AVE,03-At intersection,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
1400,10-213169,20101006,RIVER RD E @ HOLBORN DR,03-At intersection,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
1401,10-211422,20101004,BELMONT AVE W @ GAGE AVE,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
1402,10-130950,20100625,MELROSE AVE @ KRUG ST,02-Intersection related,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
1403,10-171793,20100815,QUEEN ST N @ DUKE ST E / DUKE ST W,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
1404,10-164097,20100806,GLASGOW ST @ PARK ST,02-Intersection related,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
1405,10-144938,20100713,BORDEN AVE N @ KING ST E / BORDEN AVE S,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
1406,10-154863,20100725,MARKWOOD DR @ CHOPIN DR,04-At/near private drive,10-Not on roadway - left side,01-Clear,01-Daylight,INTERSECTION,
1407,10-225065,20101021,DOON VILLAGE RD @ MILLWOOD CRES,03-At intersection,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
1408,10-226505,20101023,COUNTRY HILL DR @ BLOCK LINE RD,02-Intersection related,02-Thru lane,01-Clear,"08-Dark, artificial",INTERSECTION,
1409,10-100600,20100517,RIVER RD E @ HOLBORN DR,03-At intersection,01-Within intersection,01-Clear,"08-Dark, artificial",INTERSECTION,
1410,10-112315,20100601,BELMONT AVE W @ GAGE AVE,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
1411,10-169999,20100813,CONNAUGHT ST @ EIGHTH AVE,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
1412,10-138633,20100705,RIVER RD E @ OLD CHICOPEE DR,02-Intersection related,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
1413,10-144913,20100713,HOMER WATSON BLVD @ MANITOU DR / DOON VILLAGE RD,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
1414,10-147358,20100716,SPADINA RD E @ MILL ST,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
1415,10-027294,20100208,RIVER RD E @ HALLIWELL DR,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
1416,10-153365,20100723,ONTARIO ST S @ JOSEPH ST,03-At intersection,01-Within intersection,01-Clear,07-Dark,INTERSECTION,
1417,10-045043,20100304,KING ST E @ QUEEN ST N,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
1418,10-050530,20100312,YORK ST @ MT HOPE ST,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
1419,10-047823,20100308,HERITAGE DR @ LORRAINE AVE,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
1420,10-126345,20100619,MAX BECKER DR @ BRIDLEWREATH ST,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
1421,10-126115,20100619,QUEENS BLVD @ CECILE DR,04-At/near private drive,11-Not on roadway - right side,01-Clear,"08-Dark, artificial",INTERSECTION,
1422,10-112558,20100601,PIONEER DR @ DOON VILLAGE RD,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
1423,10-132684,20100627,PAULANDER DR @ LAWRENCE AVE,03-At intersection,01-Within intersection,02-Rain,01-Daylight,INTERSECTION,
1424,10-176474,20100821,TARA CRES @ ERINBROOK DR,03-At intersection,01-Within intersection,02-Rain,01-Daylight,INTERSECTION,
1425,10-158803,20100730,CEDARWOODS CRES @ KINGSWAY DR,04-At/near private drive,09-Right shoulder,01-Clear,01-Daylight,INTERSECTION,
1426,10-138081,20100704,LORRAINE AVE @ MONTCALM DR,04-At/near private drive,09-Right shoulder,01-Clear,01-Daylight,INTERSECTION,
1427,10-265271,20101212,STIRLING AVE S @ KING ST E / STIRLING AVE N,03-At intersection,01-Within intersection,03-Snow,07-Dark,INTERSECTION,
1428,10-028124,20100201,SHIRLEY DR @ BINGEMANS CENTRE DR,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
1429,10-023667,20100203,DUKE ST W @ LOUISA ST,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
1430,10-020727,20100130,MANCHESTER RD @ RIVER RD E,03-At intersection,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
1431,10-041934,20100301,GLASGOW ST @ ABERDEEN RD,03-At intersection,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
1432,10-041011,20100226,WILSON AVE @ TRAYNOR AVE,03-At intersection,02-Thru lane,03-Snow,"08-Dark, artificial",INTERSECTION,
1433,10-253777,20101127,BELMONT AVE W @ ROCK AVE,03-At intersection,01-Within intersection,02-Rain,"08-Dark, artificial",INTERSECTION,
1434,10-134972,20100630,TRILLIUM DR @ BEASLEY DR,03-At intersection,04-Right turn lane,01-Clear,01-Daylight,INTERSECTION,
1435,10-128937,20100623,EAST AVE @ KRUG ST,03-At intersection,01-Within intersection,01-Clear,07-Dark,INTERSECTION,
1436,10-260725,20101207,GREEN VALLEY DR @ ARROWHEAD CRES,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
1437,10-275074,20101228,STIRLING AVE S @ PLEASANT AVE,02-Intersection related,01-Within intersection,03-Snow,01-Daylight,INTERSECTION,
1438,10-211158,20101003,VANIER DR @ BONIFACE AVE,01-Non intersection,11-Not on roadway - right side,01-Clear,01-Daylight,INTERSECTION,
1439,10-222792,20101016,KING ST W @ FRANCIS ST S / FRANCIS ST N,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
1440,10-268800,20101218,BLOCK LINE RD @ KINGSWOOD DR,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
1441,10-271982,20101223,SIMEON ST @ KRUG ST,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
1442,10-270035,20101220,OTTAWA ST N @ RIVER RD E,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
1443,10-245569,20101116,VANIER DR @ SIEBERT AVE,02-Intersection related,01-Within intersection,02-Rain,01-Daylight,INTERSECTION,
1444,10-240029,20101109,CEDAR ST N @ KING ST E / CEDAR ST S,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
1445,10-176434,20100821,FRANKLIN ST S @ KINGSWAY DR,03-At intersection,01-Within intersection,02-Rain,01-Daylight,INTERSECTION,
1446,10-176447,20100821,FRANKLIN ST S @ KINGSWAY DR,03-At intersection,04-Right turn lane,02-Rain,01-Daylight,INTERSECTION,
1447,10-027235,20100207,HIGHBROOK ST @ HIGHBROOK CRES,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
1448,10-029393,20100211,ST LEGER ST @ BREITHAUPT ST,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
1449,10-215603,20101009,CHARLES ST E @ CEDAR ST S,02-Intersection related,11-Not on roadway - right side,01-Clear,01-Daylight,INTERSECTION,
1450,10-228997,20101026,BELMONT AVE W @ GAGE AVE,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
1451,10-230852,20101028,RIVER RD E @ LORRAINE AVE,03-At intersection,02-Thru lane,02-Rain,"08-Dark, artificial",INTERSECTION,
1452,10-225831,20101022,QUEEN ST N @ DUKE ST E / DUKE ST W,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
1453,10-083409,20100425,GLASGOW ST @ INWOOD DR,01-Non intersection,02-Thru lane,02-Rain,07-Dark,INTERSECTION,
1454,10-080641,20100421,YOUNG ST @ DUKE ST W,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
1455,10-225333,20100924,UNION BLVD @ PARK ST,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
1456,10-231169,20101029,RIVERBEND DR @ BRIDGEPORT RD,01-Non intersection,02-Thru lane,01-Clear,"08-Dark, artificial",INTERSECTION,
1457,10-272191,20101223,COUNTRY HILL DR @ CEDARHILL CRES,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
1458,10-274089,20101228,OTTAWA ST S @ STRASBURG RD,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
1459,10-266970,20101216,KELLY DR @ QUEENS BLVD,01-Non intersection,02-Thru lane,03-Snow,01-Daylight,INTERSECTION,
1460,10-270137,20101220,KEVCO PL @ WABANAKI DR,10-Parking lot,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
1461,10-219567,20101014,PARK ST @ STEWART ST,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
1462,10-040599,20100226,HANSON AVE @ HAYWARD AVE,01-Non intersection,02-Thru lane,03-Snow,01-Daylight,INTERSECTION,
